configuration,status,dimension,value,nominal_conditions,seed,mean_coverage,macro_F1,MAE
B-CAT-zscore,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,nominal_supported_window_fraction,0.7,24,43,0.9720695970695972,0.5782471838605358,0.6470710591733783
B-CAT-zscore,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,position,back,24,17,0.9787660256410257,0.5783548651545894,0.693850629031365
B-CAT-zscore,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,position,back,24,29,0.9787660256410257,0.5858041566233237,0.6414950143897484
B-CAT-zscore,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,position,back,24,43,0.9787660256410257,0.5839064282621114,0.6332295085815335
B-CAT-zscore,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,position,front,24,17,0.9787660256410257,0.5729938381680492,0.6936858155208389
B-CAT-zscore,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,position,front,24,29,0.9787660256410257,0.5881737140073066,0.6451867655319575
B-CAT-zscore,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,position,front,24,43,0.9787660256410257,0.5865222545852541,0.6444101959116982
B-CAT-zscore,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,position,middle,24,17,0.9787660256410257,0.5839691797555709,0.6825711508275266
B-CAT-zscore,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,position,middle,24,29,0.9787660256410257,0.5995592339472534,0.6308339610138148
B-CAT-zscore,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,position,middle,24,43,0.9787660256410257,0.5931545196782596,0.6307470515888375
B-CAT-zscore,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,position,random,24,17,0.9787660256410257,0.579285537834609,0.6869843226020268
B-CAT-zscore,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,position,random,24,29,0.9787660256410257,0.5944511343643433,0.6362433047915512
B-CAT-zscore,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,position,random,24,43,0.9787660256410257,0.588446548081189,0.6352282032829671
B-T-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,target_modality_group,A,16,17,0.992445054945055,0.5964952650113701,0.6184329031589236
B-T-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,target_modality_group,A,16,29,0.992445054945055,0.5919285839008207,0.6130139361664008
B-T-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,target_modality_group,A,16,43,0.992445054945055,0.5982491053775812,0.6103183572002429
